Symptom,Synonym
abdominal pain,belly pain
abdominal pain,stomach pain
abdominal pain,tummy pain
abdominal pain,stomach ache
abdominal pain,stomach cramps
abdominal pain,tummy hurts
abdominal pain,belly hurts
abdominal pain,abdominal ache
abdominal pain,gut pain
abdominal pain,lower belly pain
abdominal pain,stomach discomfort
abdominal pain,abdominal soreness
abnormal bleeding,unusual bleeding
abnormal bleeding,irregular bleeding
abnormal bleeding,unexpected bleeding
abnormal bleeding,excessive bleeding
abnormal bleeding,breakthrough bleeding
abnormal bleeding,spotting
abnormal bleeding,heavy flow
abnormal bleeding,blood loss
abnormal discharge,unusual discharge
abnormal discharge,irregular discharge
abnormal discharge,unusual secretion
abnormal discharge,fluid leakage
abnormal discharge,genital discharge
abnormal discharge,vaginal secretion
abnormal discharge,atypical discharge
abnormal discharge,discharge leakage
acid reflux,heartburn
acid reflux,gastric reflux
acid reflux,acid regurgitation
acid reflux,sour burps
acid reflux,burning chest
acid reflux,stomach acid backflow
acid reflux,reflux symptoms
acid reflux,food regurgitation
acne,pimply skin
acne,skin breakouts
acne,facial eruptions
acne,blemished skin
acne,skin lesions
acne,clogged follicles
acne,inflamed pores
acne,facial bumps
anal itching,rectal itching
anal itching,anal irritation
anal itching,rectal irritation
anal itching,perianal itching
anal itching,anal burning
anal itching,rectal burning
anal itching,anal discomfort
anal itching,perianal irritation
anal pain,rectal pain
anal pain,rectal ache
anal pain,anal soreness
anal pain,rectal discomfort
anal pain,perianal pain
anal pain,anal burning
anal pain,rectal soreness
anal pain,anal ache
anal swelling,rectal swelling
anal swelling,perianal swelling
anal swelling,anal inflammation
anal swelling,rectal inflammation
anal swelling,anal enlargement
anal swelling,rectal puffiness
anal swelling,anal edema
anal swelling,perianal puffiness
anxiety,nervousness
anxiety,anxiousness
anxiety,excessive worry
anxiety,constant worry
anxiety,restlessness
anxiety,inner tension
anxiety,panic feeling
anxiety,uneasiness
appetite changes,eating habits change 
appetite changes,eating changes
appetite changes,hunger changes
appetite changes,altered appetite
appetite changes,appetite fluctuation
appetite changes,appetite variation
appetite changes,eating pattern change
appetite changes,hunger variation
appetite changes,intake changes
appetite loss,loss of appetite
appetite loss,poor appetite
appetite loss,reduced appetite
appetite loss,decreased appetite
appetite loss,no appetite
appetite loss,lack of appetite
appetite loss,eating less
appetite loss,unwilling to eat
appetite loss,appetite decrease
appetite loss,little appetite
arch pain,foot arch pain
arch pain,sole arch pain
arch pain,midfoot pain
arch pain,foot sole ache
arch pain,plantar arch pain
arch pain,inner foot pain
arch pain,arch soreness
arch pain,foot curve pain
arm numbness,arm tingling
arm numbness,arm pins needles
arm numbness,arm sensation loss
arm numbness,arm loss feeling
arm numbness,limb numbness
arm numbness,arm hypoesthesia
arm numbness,arm sensory loss
arm numbness,arm paresthesia
arm weakness,arm fatigue
arm weakness,reduced arm strength
arm weakness,arm strength loss
arm weakness,arm power loss
arm weakness,arm frailty
arm weakness,weak upper limb
arm weakness,arm muscle weakness
arm weakness,limb weakness
asking repetition,repeating questions
asking repetition,repeated questioning
asking repetition,constant questioning
asking repetition,persistent asking
asking repetition,repeated inquiries
asking repetition,question repetition
asking repetition,repetitive speech
asking repetition,repeated requests
asymmetry,uneven appearance
asymmetry,unequal sides
