disease,description,precaution 1,precaution 2,precaution 3,min_age,max_age,sex_type,department
acne,"Acne, also known as acne vulgaris, is a long-term skin condition that occurs when dead skin cells and oil from the skin clog hair follicles. Typical features include blackheads, whiteheads, pimples, oily skin, and possible scarring. It primarily affects the face, upper chest, and back and may impact psychological well-being including anxiety or reduced self-esteem.",Wash face twice daily with mild cleanser,Avoid oily cosmetics,Do not squeeze lesions,10,40,both,Dermatology
asthma,"Asthma is a chronic inflammatory disease of the airways characterized by recurrent wheezing, coughing, chest tightness, and shortness of breath. Symptoms may worsen with allergens, dust, exercise, or at night.",Avoid known triggers,Use inhaler as prescribed,Keep rescue inhaler accessible,1,80,both,Pulmonology
anemia,"Anemia is a blood disorder in which the blood has a reduced ability to carry oxygen due to low red blood cells, low hemoglobin, or abnormal hemoglobin.",Consume iron-rich diet,Treat underlying cause,Regular hemoglobin monitoring,0,90,both,Hematology
appendicitis,"Appendicitis is inflammation of the appendix. Symptoms commonly include right lower abdominal pain, nausea, vomiting, fever, and decreased appetite. Severe complications include rupture and sepsis.",Seek immediate medical care,Avoid self-medication for pain,Early surgical consultation,5,40,both,General Surgery
anxiety,"Anxiety is an emotion characterized by inner turmoil, excessive worry, nervous behavior, and physical symptoms such as palpitations or restlessness. It differs from fear as it anticipates future threats.",Practice relaxation techniques,Maintain regular sleep,Seek counseling if persistent,10,75,both,Psychiatry
arthritis,"Arthritis is a disorder where the smooth cartilage lining a joint is lost, causing bone friction during movement. Symptoms include joint pain, stiffness, redness, swelling, and decreased range of motion.",Maintain healthy weight,Regular low-impact exercise,Avoid joint overuse,30,90,both,Orthopedics
allergy,"An allergy is an exaggerated immune response to harmless substances, causing symptoms such as sneezing, rash, coughing, red eyes, shortness of breath, or swelling.",Avoid known allergens,Use antihistamines as prescribed,Keep environment dust-free,0,80,both,Allergy & Immunology
athletes foot,"Athlete's foot (tinea pedis) is a fungal infection of the feet causing itching, scaling, cracking, and redness, commonly between the toes.",Keep feet dry,Change socks daily,Use antifungal cream,5,75,both,Dermatology
anal fissure,An anal fissure is a tear in the skin of the anal canal causing bright red bleeding and pain after defecation.,Increase fiber intake,Maintain hydration,Avoid straining during bowel movement,0,70,both,General Surgery
atrial fibrillation,"Atrial fibrillation is an abnormal heart rhythm characterized by rapid and irregular beating of the atria. It may cause palpitations, shortness of breath, and increased stroke risk.",Take anticoagulants if prescribed,Control blood pressure,Regular ECG monitoring,50,95,both,Cardiology
alzheimer disease,"Alzheimer's disease is a neurodegenerative disorder and the most common cause of dementia, characterized by progressive memory loss, language problems, mood changes, and decline in daily functioning.",Cognitive stimulation activities,Regular medical follow-up,Maintain cardiovascular health,60,95,both,Neurology
